날짜,PM10,PM25,풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),체감온도,기압차,풍압,판매량_어제,판매량_7일평균,요일_1,요일_2,요일_3,요일_4,요일_5,요일_6,월_2,월_3,월_4,월_5,월_6,월_7,월_8,월_9,월_10,월_11,월_12,Sales Amt
2017-12-26,31.495271122320304,15.578163771712159,2.8625000000000003,277.5,43.583333333333336,2.129166666666667,-15.366666666666667,1014.2375000000001,1025.2749999999999,11.0,1960.2916666666667,-2.283333333333333,-0.14583333333333334,0.3625,1.0458333333333334,1.6208333333333333,-3.9629166666666675,11.037499999999795,794.3437500000001,6674192.0,4812927.285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.525828744746653
2017-12-27,29.502828409805154,14.293279022403258,1.9541666666666666,295.4166666666667,31.125,1.1166666666666667,-21.570833333333336,1019.1958333333333,1030.45,17.78829122232438,1996.5,-4.383333333333334,-1.2874999999999999,0.041666666666666664,0.9416666666666668,1.5999999999999999,-7.43,11.25416666666672,577.2934027777778,5530720.0,4802319.428571428,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.222605332739658
2017-12-28,49.73859315589353,30.062916666666666,1.3541666666666667,250.0,45.041666666666664,2.4458333333333333,-13.295833333333334,1019.1833333333334,1030.2291666666667,9.772727272727273,1574.7916666666667,-1.75,-0.8041666666666667,-0.125,0.8083333333333335,1.5291666666666668,-2.1758333333333333,11.045833333333348,338.5416666666667,4084072.0,4976644.142857143,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,15.483532989089454
2017-12-29,98.031190926276,68.7644661776691,1.175,212.08333333333334,65.0,4.6499999999999995,-3.7458333333333336,1016.3375,1027.1666666666667,7.590909090909091,523.625,0.2625,0.09583333333333334,0.05000000000000001,0.8250000000000001,1.5,3.3233333333333333,10.829166666666765,249.19791666666669,5301672.0,5607586.857142857,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,15.978860364875386
2017-12-30,125.31943573667712,95.15706806282722,0.9375,171.25,77.75,5.2124999999999995,-2.254166666666667,1014.3625000000001,1025.2041666666667,5.857142857142857,214.29166666666666,-0.2791666666666667,0.02916666666666667,0.11666666666666668,0.9041666666666667,1.5041666666666667,2.98875,10.841666666666583,160.546875,8700232.0,6670661.571428572,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,16.521444721838005
2017-12-31,64.24185463659148,38.11008437123343,2.3208333333333333,296.25,59.083333333333336,3.5749999999999997,-8.329166666666667,1012.3874999999999,1023.2624999999999,3.5,1120.2916666666667,-0.07500000000000001,0.15,0.22083333333333333,0.9458333333333333,1.5625,0.2354166666666666,10.875,687.546875,14968292.0,8111771.142857143,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,16.259874601282878
2018-01-01,44.1520737327189,22.662999633296664,1.4541666666666666,285.8333333333333,39.333333333333336,2.125,-13.866666666666667,1016.5833333333334,1027.5541666666666,20.25,1894.8333333333333,-1.6958333333333335,-0.13333333333333333,0.2875,0.9833333333333334,1.5875000000000001,-1.12125,10.97083333333319,415.6493055555555,11523218.0,8270252.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.867524246566783
2018-01-02,44.50477657935285,25.66924493554328,1.7666666666666666,215.41666666666666,43.708333333333336,2.3249999999999997,-13.345833333333333,1017.9166666666666,1028.9208333333333,59.666666666666664,1712.2083333333333,-2.0375,-0.2916666666666667,0.23750000000000002,0.9958333333333332,1.5875000000000001,-1.417083333333333,11.00416666666672,380.5694444444444,7783558.0,8296860.285714285,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.558951076984158
2018-01-03,36.87771988967208,19.41467958271237,2.125,310.4166666666667,41.166666666666664,1.7791666666666668,-15.879166666666668,1019.9583333333334,1031.1041666666667,57.5,1945.1666666666667,-3.095833333333333,-0.775,0.0375,0.8916666666666666,1.5,-4.731666666666667,11.145833333333371,659.6354166666667,5716978.0,8586174.57142857,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.62531833879842
2018-01-04,47.267665952890795,26.544973544973544,1.375,240.0,44.125,1.8541666666666667,-15.379166666666665,1017.1374999999999,1028.2666666666667,44.857142857142854,1825.3333333333333,-3.1041666666666665,-1.2208333333333334,-0.2708333333333333,0.7208333333333333,1.3916666666666666,-4.438749999999999,11.12916666666672,330.0,6109272.0,8584078.57142857,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.48076172436075
2018-01-05,58.58064516129032,37.77591463414634,1.6583333333333332,285.4166666666667,48.541666666666664,2.375,-12.341666666666667,1010.3916666666668,1021.3791666666666,47.2,1434.2083333333333,-2.3333333333333335,-0.875,-0.2916666666666667,0.6208333333333332,1.3041666666666667,-2.6170833333333325,10.98749999999984,473.31597222222223,5287000.0,8162095.142857143,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15.56407525458153
